first_date,country,installs,retained_d1,retained_d7,retention_d1,retention_d7,retention_d1_percent,retention_d7_percent
2021-11-18,BJ,21,5,3,0.23809523809523808,0.14285714285714285,23.81,14.29
2021-11-18,BL,1,1,0,1.0,0.0,100.0,0.0
2021-11-18,BM,1,0,0,0.0,0.0,0.0,0.0
2021-11-18,BN,43,18,7,0.4186046511627907,0.16279069767441862,41.86,16.28
2021-11-18,BO,127,49,11,0.3858267716535433,0.08661417322834646,38.58,8.66
2021-11-18,BR,4819,1790,427,0.3714463581655945,0.08860759493670886,37.14,8.86
2021-11-18,BS,24,10,2,0.4166666666666667,0.08333333333333333,41.67,8.33
2021-11-18,BT,8,4,1,0.5,0.125,50.0,12.5
2021-11-18,BW,5,1,0,0.2,0.0,20.0,0.0
2021-11-18,BY,167,72,14,0.4311377245508982,0.08383233532934131,43.11,8.38
2021-11-18,BZ,14,5,2,0.35714285714285715,0.14285714285714285,35.71,14.29
2021-11-18,CA,202,81,30,0.400990099009901,0.1485148514851485,40.1,14.85
2021-11-18,CD,3,0,0,0.0,0.0,0.0,0.0
2021-11-18,CG,6,1,0,0.16666666666666666,0.0,16.67,0.0
2021-11-18,CH,33,10,3,0.30303030303030304,0.09090909090909091,30.3,9.09
2021-11-18,CI,68,22,11,0.3235294117647059,0.16176470588235295,32.35,16.18
2021-11-18,CL,1083,393,103,0.3628808864265928,0.0951061865189289,36.29,9.51
2021-11-18,CM,21,10,3,0.47619047619047616,0.14285714285714285,47.62,14.29
2021-11-18,CN,567,126,21,0.2222222222222222,0.037037037037037035,22.22,3.7
2021-11-18,CO,853,330,79,0.38686987104337633,0.09261430246189918,38.69,9.26
2021-11-18,CR,147,55,21,0.3741496598639456,0.14285714285714285,37.41,14.29
2021-11-18,CV,5,3,0,0.6,0.0,60.0,0.0
2021-11-18,CW,2,1,0,0.5,0.0,50.0,0.0
2021-11-18,CY,34,15,5,0.4411764705882353,0.14705882352941177,44.12,14.71
2021-11-18,CZ,271,107,24,0.3948339483394834,0.08856088560885608,39.48,8.86
2021-11-18,DE,467,161,58,0.34475374732334046,0.12419700214132762,34.48,12.42
2021-11-18,DJ,6,5,1,0.8333333333333334,0.16666666666666666,83.33,16.67
2021-11-18,DK,29,8,3,0.27586206896551724,0.10344827586206896,27.59,10.34
2021-11-18,DO,227,109,23,0.4801762114537445,0.1013215859030837,48.02,10.13
2021-11-18,DZ,3,1,1,0.3333333333333333,0.3333333333333333,33.33,33.33
2021-11-18,EC,433,150,37,0.3464203233256351,0.08545034642032333,34.64,8.55
2021-11-18,EE,22,5,3,0.22727272727272727,0.13636363636363635,22.73,13.64
2021-11-18,EG,16,6,1,0.375,0.0625,37.5,6.25
2021-11-18,EH,4,3,0,0.75,0.0,75.0,0.0
2021-11-18,ES,409,147,49,0.3594132029339853,0.1198044009779951,35.94,11.98
2021-11-18,ET,13,4,2,0.3076923076923077,0.15384615384615385,30.77,15.38
2021-11-18,FI,21,5,2,0.23809523809523808,0.09523809523809523,23.81,9.52
2021-11-18,FJ,24,11,1,0.4583333333333333,0.041666666666666664,45.83,4.17
2021-11-18,FM,7,5,0,0.7142857142857143,0.0,71.43,0.0
2021-11-18,FR,528,206,61,0.39015151515151514,0.11553030303030302,39.02,11.55
2021-11-18,GA,13,7,2,0.5384615384615384,0.15384615384615385,53.85,15.38
2021-11-18,GB,449,154,44,0.3429844097995546,0.09799554565701558,34.3,9.8
2021-11-18,GD,5,1,1,0.2,0.2,20.0,20.0
2021-11-18,GE,78,26,5,0.3333333333333333,0.0641025641025641,33.33,6.41
2021-11-18,GF,9,2,1,0.2222222222222222,0.1111111111111111,22.22,11.11
2021-11-18,GG,1,1,1,1.0,1.0,100.0,100.0
2021-11-18,GH,37,19,4,0.5135135135135135,0.10810810810810811,51.35,10.81
2021-11-18,GI,2,0,0,0.0,0.0,0.0,0.0
2021-11-18,GL,2,0,0,0.0,0.0,0.0,0.0
2021-11-18,GM,1,1,0,1.0,0.0,100.0,0.0
2021-11-18,GN,19,4,2,0.21052631578947367,0.10526315789473684,21.05,10.53
2021-11-18,GP,14,7,3,0.5,0.21428571428571427,50.0,21.43
2021-11-18,GR,232,107,22,0.46120689655172414,0.09482758620689655,46.12,9.48
2021-11-18,GT,257,117,20,0.45525291828793774,0.07782101167315175,45.53,7.78
2021-11-18,GU,13,8,2,0.6153846153846154,0.15384615384615385,61.54,15.38
2021-11-18,GY,32,11,2,0.34375,0.0625,34.38,6.25
2021-11-18,HK,34,13,2,0.38235294117647056,0.058823529411764705,38.24,5.88
2021-11-18,HN,86,35,7,0.4069767441860465,0.08139534883720931,40.7,8.14
2021-11-18,HR,83,30,8,0.3614457831325301,0.0963855421686747,36.14,9.64
2021-11-18,HT,46,17,12,0.3695652173913043,0.2608695652173913,36.96,26.09
2021-11-18,HU,251,90,16,0.35856573705179284,0.06374501992031872,35.86,6.37
2021-11-18,ID,2269,917,159,0.40414279418245924,0.07007492287351257,40.41,7.01
2021-11-18,IE,58,23,9,0.39655172413793105,0.15517241379310345,39.66,15.52
2021-11-18,IL,253,110,30,0.43478260869565216,0.11857707509881422,43.48,11.86
2021-11-18,IM,1,1,0,1.0,0.0,100.0,0.0
2021-11-18,IN,13289,5706,1411,0.42937768078862215,0.10617804198961547,42.94,10.62
2021-11-18,IQ,28,10,2,0.35714285714285715,0.07142857142857142,35.71,7.14
2021-11-18,IS,4,0,0,0.0,0.0,0.0,0.0
2021-11-18,IT,966,399,97,0.41304347826086957,0.10041407867494824,41.3,10.04
2021-11-18,JE,1,0,0,0.0,0.0,0.0,0.0
2021-11-18,JM,64,24,3,0.375,0.046875,37.5,4.69
2021-11-18,JO,123,39,11,0.3170731707317073,0.08943089430894309,31.71,8.94
2021-11-18,JP,626,282,129,0.4504792332268371,0.20607028753993611,45.05,20.61
2021-11-18,KE,45,18,10,0.4,0.2222222222222222,40.0,22.22
2021-11-18,KG,114,38,7,0.3333333333333333,0.06140350877192982,33.33,6.14
2021-11-18,KH,8,4,1,0.5,0.125,50.0,12.5
2021-11-18,KN,2,1,1,0.5,0.5,50.0,50.0
2021-11-18,KR,175,63,20,0.36,0.11428571428571428,36.0,11.43
2021-11-18,KW,110,45,19,0.4090909090909091,0.17272727272727273,40.91,17.27
2021-11-18,KY,1,0,0,0.0,0.0,0.0,0.0
2021-11-18,KZ,934,417,98,0.4464668094218415,0.10492505353319058,44.65,10.49
2021-11-18,LA,76,36,5,0.47368421052631576,0.06578947368421052,47.37,6.58
2021-11-18,LB,69,32,7,0.463768115942029,0.10144927536231885,46.38,10.14
2021-11-18,LC,4,3,0,0.75,0.0,75.0,0.0
2021-11-18,LI,1,1,0,1.0,0.0,100.0,0.0
2021-11-18,LK,85,43,9,0.5058823529411764,0.10588235294117647,50.59,10.59
2021-11-18,LT,54,18,0,0.3333333333333333,0.0,33.33,0.0
2021-11-18,LU,9,3,1,0.3333333333333333,0.1111111111111111,33.33,11.11
2021-11-18,LV,67,29,4,0.43283582089552236,0.05970149253731343,43.28,5.97
2021-11-18,LY,156,52,16,0.3333333333333333,0.10256410256410256,33.33,10.26
2021-11-18,MA,118,58,8,0.4915254237288136,0.06779661016949153,49.15,6.78
2021-11-18,MD,37,13,4,0.35135135135135137,0.10810810810810811,35.14,10.81
2021-11-18,ME,29,9,1,0.3103448275862069,0.034482758620689655,31.03,3.45
2021-11-18,MG,9,3,1,0.3333333333333333,0.1111111111111111,33.33,11.11
2021-11-18,MH,3,1,0,0.3333333333333333,0.0,33.33,0.0
2021-11-18,MK,73,28,6,0.3835616438356164,0.0821917808219178,38.36,8.22
2021-11-18,ML,62,17,4,0.27419354838709675,0.06451612903225806,27.42,6.45
2021-11-18,MM,332,105,26,0.31626506024096385,0.0783132530120482,31.63,7.83
2021-11-18,MO,2,2,0,1.0,0.0,100.0,0.0
2021-11-18,MQ,9,7,3,0.7777777777777778,0.3333333333333333,77.78,33.33
2021-11-18,MR,2,2,0,1.0,0.0,100.0,0.0
2021-11-18,MS,1,1,0,1.0,0.0,100.0,0.0
2021-11-18,MT,16,7,4,0.4375,0.25,43.75,25.0
2021-11-18,MU,66,25,4,0.3787878787878788,0.06060606060606061,37.88,6.06
2021-11-18,MV,19,6,2,0.3157894736842105,0.10526315789473684,31.58,10.53
2021-11-18,MW,6,3,1,0.5,0.16666666666666666,50.0,16.67
2021-11-18,MX,2958,1138,257,0.38471940500338064,0.08688302907369845,38.47,8.69
2021-11-18,MY,1039,379,65,0.3647738209817132,0.06256015399422522,36.48,6.26
2021-11-18,MZ,24,6,2,0.25,0.08333333333333333,25.0,8.33
2021-11-18,NA,15,6,0,0.4,0.0,40.0,0.0
2021-11-18,NC,12,8,2,0.6666666666666666,0.16666666666666666,66.67,16.67
2021-11-18,NE,26,5,3,0.19230769230769232,0.11538461538461539,19.23,11.54
2021-11-18,NG,375,123,54,0.328,0.144,32.8,14.4
